sep=,
Group,Side,TF,Indicator,N,Mean,Median,Q25,Q75,Min,Max
SETUP_STEP5,ALL,M5,EMA200_DIST_ATR,10,0.240204,-1.672532,-3.383380,1.562325,-5.426739,11.262505
SETUP_STEP5,ALL,M15,RSI,10,37.808124,35.812860,28.551150,43.893157,24.816918,56.959956
SETUP_STEP5,ALL,M15,ADX,10,32.466673,29.439732,26.431271,31.650377,22.956310,55.880702
SETUP_STEP5,ALL,M15,CCI,10,-163.876822,-198.160408,-217.107947,-128.415067,-254.655769,8.636869
SETUP_STEP5,ALL,M15,DI_PLUS,10,12.392134,13.473356,10.450452,15.579296,4.436583,16.295048
SETUP_STEP5,ALL,M15,DI_MINUS,10,30.963983,31.698309,24.578442,35.762311,19.585878,41.685629
SETUP_STEP5,ALL,M15,DI_GAP,10,18.571849,17.717020,10.151059,27.628477,3.290830,31.735125
SETUP_STEP5,ALL,M15,ATR,10,1.412475,1.401000,0.942000,1.602250,0.675750,2.445750
SETUP_STEP5,ALL,M15,ATR_PCT_PRICE,10,0.108698,0.105991,0.074544,0.122430,0.053359,0.186087
SETUP_STEP5,ALL,M15,EMA200_DIST_POINTS,10,486.672602,491.491821,243.285728,736.143861,24.787040,868.116376
SETUP_STEP5,ALL,M15,EMA200_DIST_ATR,10,3.736073,3.359271,0.501039,6.246549,-1.508321,10.493805
SETUP_STEP5,ALL,M30,RSI,10,42.586710,42.951844,35.060326,50.154766,27.052460,59.802166
SETUP_STEP5,ALL,M30,ADX,10,29.418253,24.721207,23.079947,35.658742,21.430364,43.809135
SETUP_STEP5,ALL,M30,CCI,10,-111.905741,-132.734065,-171.483248,-40.866924,-270.117824,60.645437
SETUP_STEP5,ALL,M30,DI_PLUS,10,11.958990,12.751771,11.750716,13.952891,6.684464,14.291867
SETUP_STEP5,ALL,M30,DI_MINUS,10,26.301239,26.597454,20.158493,32.352468,14.225848,38.546113
SETUP_STEP5,ALL,M30,DI_GAP,10,14.342249,13.759527,5.866625,23.055268,0.051849,31.861649
SETUP_STEP5,ALL,M30,ATR,10,2.038700,1.933000,1.554500,2.586188,1.389250,2.693250
SETUP_STEP5,ALL,M30,ATR_PCT_PRICE,10,0.157074,0.149572,0.122979,0.196367,0.109861,0.203326
SETUP_STEP5,ALL,M30,EMA200_DIST_POINTS,10,1006.616446,918.061086,629.367635,1485.183487,14.188954,2000.914605
SETUP_STEP5,ALL,M30,EMA200_DIST_ATR,10,4.724377,5.342802,3.013089,6.008309,-0.078675,8.153686
SETUP_STEP5,ALL,H1,RSI,10,49.481951,50.909402,43.096733,56.216476,33.109464,62.845305
SETUP_STEP5,ALL,H1,ADX,10,30.579321,29.552056,29.202074,31.744610,27.726978,36.491256
SETUP_STEP5,ALL,H1,CCI,10,-59.856815,-88.055862,-130.799454,11.105318,-163.950090,80.669293
SETUP_STEP5,ALL,H1,DI_PLUS,10,16.064470,17.484633,12.377220,19.004261,10.864019,21.615618
SETUP_STEP5,ALL,H1,DI_MINUS,10,25.439610,23.259450,20.038368,29.043080,17.739243,38.266168
SETUP_STEP5,ALL,H1,DI_GAP,10,9.956881,5.639454,1.032535,17.514132,0.767153,27.402149
SETUP_STEP5,ALL,H1,ATR,10,2.853300,2.494625,2.218625,3.017688,2.031500,5.729750
SETUP_STEP5,ALL,H1,ATR_PCT_PRICE,10,0.221142,0.190290,0.169316,0.231996,0.161040,0.452119
SETUP_STEP5,ALL,H1,EMA200_DIST_POINTS,10,1929.426686,1709.784278,1113.374721,2950.727964,388.461033,3447.965561
SETUP_STEP5,ALL,H1,EMA200_DIST_ATR,10,7.319081,5.770483,3.809646,10.088487,1.663467,15.818170
SETUP_STEP5,BUY,M1,RSI,10,28.258386,25.499469,21.253406,32.840105,13.774488,57.253524
SETUP_STEP5,BUY,M1,ADX,10,36.545825,37.128108,31.211241,46.334494,14.706375,55.715444
SETUP_STEP5,BUY,M1,CCI,10,-140.313696,-161.046884,-214.139487,-126.667532,-273.570196,158.295523
SETUP_STEP5,BUY,M1,DI_PLUS,10,12.983323,9.780024,6.403630,19.367012,4.588612,25.161430
SETUP_STEP5,BUY,M1,DI_MINUS,10,34.229871,36.833558,25.701611,44.367913,15.593917,48.599893
SETUP_STEP5,BUY,M1,DI_GAP,10,24.534316,28.037809,11.690965,36.487781,7.037400,40.211933
SETUP_STEP5,BUY,M1,ATR,10,0.422600,0.325125,0.216062,0.492312,0.188000,1.063000
SETUP_STEP5,BUY,M1,ATR_PCT_PRICE,10,0.032611,0.025152,0.017052,0.037222,0.014903,0.080879
SETUP_STEP5,BUY,M1,EMA200_DIST_POINTS,10,290.407404,311.296070,205.013948,405.128574,31.416256,518.325723
SETUP_STEP5,BUY,M1,EMA200_DIST_ATR,10,-6.965380,-7.211267,-10.493202,-4.665144,-14.870882,2.986732
SETUP_STEP5,BUY,M5,RSI,10,31.262539,28.434361,23.516117,34.891399,19.459398,52.054520
SETUP_STEP5,BUY,M5,ADX,10,36.180331,36.030826,29.773117,41.371401,26.664317,46.710293
SETUP_STEP5,BUY,M5,CCI,10,-173.403028,-168.138447,-191.693136,-139.025781,-321.929751,-37.408235
SETUP_STEP5,BUY,M5,DI_PLUS,10,10.392445,10.653787,7.535645,12.319487,5.308094,15.195525
SETUP_STEP5,BUY,M5,DI_MINUS,10,33.495819,32.873981,28.543246,38.536573,21.936368,43.963998
SETUP_STEP5,BUY,M5,DI_GAP,10,23.103374,25.141855,15.428438,27.052959,6.740843,36.946845
SETUP_STEP5,BUY,M5,ATR,10,1.011550,1.140625,0.679000,1.365500,0.419750,1.439750
SETUP_STEP5,BUY,M5,ATR_PCT_PRICE,10,0.077832,0.086283,0.053788,0.104487,0.033145,0.108784
SETUP_STEP5,BUY,M5,EMA200_DIST_POINTS,10,365.328276,399.520996,156.271451,499.268383,28.591303,765.626669
SETUP_STEP5,BUY,M5,EMA200_DIST_ATR,10,0.240204,-1.672532,-3.383380,1.562325,-5.426739,11.262505
SETUP_STEP5,BUY,M15,RSI,10,37.808124,35.812860,28.551150,43.893157,24.816918,56.959956
SETUP_STEP5,BUY,M15,ADX,10,32.466673,29.439732,26.431271,31.650377,22.956310,55.880702
SETUP_STEP5,BUY,M15,CCI,10,-163.876822,-198.160408,-217.107947,-128.415067,-254.655769,8.636869
SETUP_STEP5,BUY,M15,DI_PLUS,10,12.392134,13.473356,10.450452,15.579296,4.436583,16.295048
SETUP_STEP5,BUY,M15,DI_MINUS,10,30.963983,31.698309,24.578442,35.762311,19.585878,41.685629
SETUP_STEP5,BUY,M15,DI_GAP,10,18.571849,17.717020,10.151059,27.628477,3.290830,31.735125
SETUP_STEP5,BUY,M15,ATR,10,1.412475,1.401000,0.942000,1.602250,0.675750,2.445750
